City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
1,Boyuibe,BO,75.11,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
3,Coahuayana,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
5,Portland,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
7,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
9,Hasaki,JP,55.8,light rain,35.7333,140.8333,Hotel Sunrise Choshi
13,Cape Town,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
15,Flinders,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
16,New Norfolk,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
18,Bilma,NE,86.38,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
19,Albany,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
20,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
21,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Punta Arenas,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
23,Rikitea,PF,75.47,few clouds,-23.1203,-134.9692,People ThankYou
25,Port Alfred,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
26,Nishihara,JP,55.8,light rain,35.7333,140.8333,Hotel Sunrise Choshi
27,Lebu,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
29,East London,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
30,Bredasdorp,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
32,Tabas,IR,70.74,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
34,Souillac,MU,74.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Atuona,PF,75.47,few clouds,-23.1203,-134.9692,People ThankYou
36,Carnarvon,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
38,Chuy,UY,55.98,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
39,Jamestown,US,53.71,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Kapaa,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,Cidreira,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
43,Ngunguru,NZ,70.16,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
44,Sola,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
46,Hobart,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
47,Fortuna,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
48,Nador,MA,66.45,clear sky,35.174,-2.9287,Hôtel La Giralda
49,Athens,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
50,Meulaboh,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
51,Bafata,GW,78.17,clear sky,12.1667,-14.75,
52,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
53,Dargaville,NZ,70.16,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
54,Marawi,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
55,Namibe,AO,62.67,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
56,Trincomalee,LK,80.49,overcast clouds,8.5711,81.2335,Welcombe Hotel
60,Castro,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
61,Paita,PE,70.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
62,Tulum,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
63,Busselton,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
