City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Clear Skies,Rain
0,Kapaa,US,2021-10-13 21:55:32,22.0752,-159.319,80.11,71,98,3.0,10000,0.14
1,Ushuaia,AR,2021-10-13 21:51:39,-54.8,-68.3,40.66,81,75,23.02,10000,1.05
2,Mar Del Plata,AR,2021-10-13 21:52:27,-38.0023,-57.5575,64.09,62,90,4.0,6000,0.31
3,Cape Town,ZA,2021-10-13 21:54:56,-33.9258,18.4232,61.27,86,75,5.99,10000,3.05
4,Chuy,UY,2021-10-13 21:55:45,-33.6971,-53.4616,63.57,94,100,6.71,10000,0.96
5,Gold Coast,AU,2021-10-13 21:53:19,-28.0,153.4333,67.24,96,94,3.0,4944,0.71
6,Zhicheng,CN,2021-10-13 21:56:09,30.2956,111.5047,65.84,75,100,5.23,10000,0.32
7,Port Hardy,CA,2021-10-13 21:56:19,50.6996,-127.4199,48.74,80,100,15.41,10000,0.17
8,Hilo,US,2021-10-13 21:56:21,19.7297,-155.09,87.28,95,100,1.01,10000,2.03
9,Xinzhi,CN,2021-10-13 21:56:23,36.4989,111.7047,59.52,82,98,1.77,10000,0.32
10,Bengkulu,ID,2021-10-13 21:56:24,-3.8004,102.2655,75.33,92,100,3.38,10000,0.46
11,Saldanha,ZA,2021-10-13 21:56:26,-33.0117,17.9442,60.85,91,100,22.35,10000,0.13
12,Faanui,PF,2021-10-13 21:56:31,-16.4833,-151.75,78.98,77,100,5.88,10000,0.47
13,Vozdvizhenka,RU,2021-10-13 21:56:32,43.9,131.95,51.55,77,98,11.88,10000,1.81
14,Port-Gentil,GA,2021-10-13 21:56:39,-0.7193,8.7815,78.76,89,90,9.22,10000,2.21
15,Sabang,ID,2021-10-13 21:56:40,5.8933,95.3214,81.81,79,99,25.39,10000,0.29
16,Anau,PF,2021-10-13 21:56:41,-16.5167,-151.7333,78.98,77,100,6.04,10000,0.44
17,Sitka,US,2021-10-13 21:56:42,57.0531,-135.33,46.35,93,100,9.06,2842,1.37
18,Dicabisagan,PH,2021-10-13 21:56:43,17.0818,122.4157,78.39,90,100,1.9,10000,5.65
19,Liteni,RO,2021-10-13 21:56:48,47.5667,26.2,47.55,83,0,11.5,10000,0.15
20,Korhogo,CI,2021-10-13 21:56:51,9.45,-5.6333,73.98,88,74,6.51,10000,2.81
21,Upernavik,GL,2021-10-13 21:57:00,72.7868,-56.1549,35.42,97,100,42.35,82,1.02
22,Roald,NO,2021-10-13 21:57:01,62.5833,6.1333,53.33,93,75,25.32,8000,0.73
23,Wamba,NG,2021-10-13 21:57:03,8.9333,8.6,75.0,86,3,1.79,10000,0.13
24,Ketchikan,US,2021-10-13 21:57:16,55.3422,-131.6461,45.41,95,100,9.55,3350,2.91
25,Sulangan,PH,2021-10-13 21:57:18,11.1373,123.7228,82.9,75,100,3.62,10000,2.59
26,Palauig,PH,2021-10-13 21:57:25,15.435,119.9045,80.02,79,99,7.76,10000,0.54
27,Waipawa,NZ,2021-10-13 21:57:27,-41.4122,175.5153,49.3,67,97,13.6,10000,0.11
28,Leshukonskoye,RU,2021-10-13 21:57:32,64.8989,45.7622,42.96,93,100,9.04,10000,2.24
29,Malocloc,PH,2021-10-13 21:57:34,11.5058,122.6783,76.03,88,100,1.97,10000,0.16
30,Luoyang,CN,2021-10-13 21:57:36,34.6836,112.4536,62.4,79,77,6.62,10000,0.13
31,Mimongo,GA,2021-10-13 21:57:36,-1.6195,11.6068,70.66,99,99,4.16,2512,0.65
32,Knyaze-Volkonskoye,RU,2021-10-13 21:57:44,48.4642,135.4567,52.14,69,91,8.75,10000,2.33
33,Lanas,PH,2021-10-13 21:58:07,12.0495,121.9185,81.93,78,98,5.86,10000,0.2
34,Jian,CN,2021-10-13 21:58:10,27.1172,114.9793,66.6,92,100,6.46,10000,0.35
35,Ballina,AU,2021-10-13 21:58:11,-28.8667,153.5667,69.76,78,90,13.8,10000,0.51
36,Moron,AR,2021-10-13 21:58:15,-34.6534,-58.6198,64.96,86,100,5.06,10000,0.12
37,Brazzaville,CG,2021-10-13 21:58:16,-4.2658,15.2832,77.88,78,83,3.94,10000,1.47
38,Debre Tabor,ET,2021-10-13 21:58:20,11.85,38.0167,53.53,81,86,0.87,10000,0.2
39,Haines Junction,CA,2021-10-13 21:58:22,60.7522,-137.5108,36.28,94,100,0.54,175,0.61
40,Pauini,BR,2021-10-13 21:58:25,-7.7136,-66.9764,85.06,59,99,2.13,10000,0.15
41,Qui Nhon,VN,2021-10-13 21:58:26,13.7667,109.2333,79.61,79,100,5.84,10000,0.3
42,San Carlos De Bariloche,AR,2021-10-13 21:58:42,-41.1456,-71.3082,46.15,76,75,18.41,8000,1.35
43,Kabin Buri,TH,2021-10-13 21:58:43,13.9511,101.7177,75.56,96,100,1.9,10000,4.49
44,Hatillo,PR,2021-10-13 21:58:56,18.4863,-66.8254,84.99,94,100,2.71,10000,0.49
45,Rorvik,NO,2021-10-13 21:59:01,64.8621,11.2373,43.02,77,100,15.97,10000,0.1
46,Fram,PY,2021-10-13 21:59:11,-26.9833,-55.8833,77.59,87,98,2.71,10000,2.3
47,Vinh,VN,2021-10-13 21:59:17,18.6667,105.6667,71.92,95,100,10.2,4568,3.0
