City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed
0,Hilo,US,19.7297,-155.09,80.8,light rain,79,90,3.44
1,Boyuibe,BO,-20.4167,-63.2833,75.11,overcast clouds,48,99,7.43
2,Jinchang,CN,38.4953,102.1739,45.07,overcast clouds,36,100,3.56
3,Coahuayana,MX,18.7333,-103.6833,89.08,clear sky,66,6,6.04
4,Leningradskiy,RU,69.3833,178.4167,8.29,overcast clouds,88,100,4.16
5,Portland,US,45.5234,-122.6762,60.89,broken clouds,64,75,1.99
6,Saint-Augustin,CA,51.226,-58.6502,43.43,overcast clouds,95,100,25.66
7,Isangel,VU,-19.55,169.2667,80.71,overcast clouds,78,90,5.75
8,Qaanaaq,GL,77.484,-69.3632,26.56,overcast clouds,66,100,12.84
9,Hasaki,JP,35.7333,140.8333,55.8,light rain,73,100,13.78
10,Dombarovskiy,RU,69.3833,178.4167,8.29,overcast clouds,88,100,4.16
11,Provideniya,RU,69.3833,178.4167,8.29,overcast clouds,88,100,4.16
12,Kungurtug,RU,69.3833,178.4167,8.29,overcast clouds,88,100,4.16
13,Cape Town,ZA,-33.9258,18.4232,59.41,clear sky,58,0,3.0
14,Avarua,CK,-21.2078,-159.775,77.05,broken clouds,73,75,5.75
15,Flinders,US,45.5234,-122.6762,60.89,broken clouds,64,75,1.99
16,New Norfolk,US,45.5234,-122.6762,60.89,broken clouds,64,75,1.99
17,Ushuaia,AR,-54.8,-68.3,46.06,scattered clouds,61,40,27.63
18,Bilma,NE,18.6853,12.9164,86.38,overcast clouds,15,98,8.34
19,Albany,US,45.5234,-122.6762,60.89,broken clouds,64,75,1.99
20,Vaini,TO,-21.2,-175.2,80.76,scattered clouds,74,40,10.36
21,Puerto Ayora,EC,-0.7393,-90.3518,80.56,broken clouds,80,74,10.87
22,Punta Arenas,CL,-53.15,-70.9167,50.11,scattered clouds,53,40,29.93
23,Rikitea,PF,-23.1203,-134.9692,75.47,few clouds,72,22,20.8
24,Upernavik,GL,77.484,-69.3632,26.56,overcast clouds,66,100,12.84
25,Port Alfred,ZA,-33.9258,18.4232,59.41,clear sky,58,0,3.0
26,Nishihara,JP,35.7333,140.8333,55.8,light rain,73,100,13.78
27,Lebu,CL,-53.15,-70.9167,50.11,scattered clouds,53,40,29.93
28,Iqaluit,CA,51.226,-58.6502,43.43,overcast clouds,95,100,25.66
29,East London,ZA,-33.9258,18.4232,59.41,clear sky,58,0,3.0
30,Bredasdorp,ZA,-33.9258,18.4232,59.41,clear sky,58,0,3.0
31,Nyurba,RU,69.3833,178.4167,8.29,overcast clouds,88,100,4.16
32,Tabas,IR,33.5959,56.9244,70.74,clear sky,16,0,0.83
33,Vydrino,RU,69.3833,178.4167,8.29,overcast clouds,88,100,4.16
34,Souillac,MU,-20.5167,57.5167,74.35,broken clouds,78,75,14.97
35,Atuona,PF,-23.1203,-134.9692,75.47,few clouds,72,22,20.8
36,Carnarvon,US,45.5234,-122.6762,60.89,broken clouds,64,75,1.99
37,Dolores,AR,-54.8,-68.3,46.06,scattered clouds,61,40,27.63
38,Chuy,UY,-33.6971,-53.4616,55.98,scattered clouds,88,27,7.38
39,Jamestown,US,42.097,-79.2353,53.71,few clouds,62,20,1.99
40,Kapaa,US,19.7297,-155.09,80.8,light rain,79,90,3.44
41,Cidreira,BR,-30.1811,-50.2056,60.93,scattered clouds,74,50,7.56
42,Beidao,CN,38.4953,102.1739,45.07,overcast clouds,36,100,3.56
43,Ngunguru,NZ,-35.6167,174.5,70.16,few clouds,65,14,1.48
