City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed
0,Georgetown,MY,5.4112,100.3354,77.9,mist,94,20,4.61
1,Kidal,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
2,Lekoni,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
3,Gogrial,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
4,Idah,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
5,Ewo,CG,-0.8725,14.8206,73.24,broken clouds,92,59,3.42
6,Tabou,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
7,Uwayl,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
8,Bubaque,GW,11.2833,-15.8333,82.69,overcast clouds,74,100,9.33
9,Potiskum,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
10,Kindu,CD,-2.95,25.95,69.57,light rain,100,100,1.41
11,Nara,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
12,Port-Gentil,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
13,Sao Filipe,CV,14.8961,-24.4956,78.1,scattered clouds,71,46,11.54
14,Gitarama,RW,-2.0744,29.7567,63.86,overcast clouds,88,90,4.5
15,Faya,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
16,Azare,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
17,Vila Do Maio,CV,14.8961,-24.4956,78.1,scattered clouds,71,46,11.54
18,Robertsport,LR,6.7533,-11.3686,79.09,moderate rain,84,100,6.64
19,Mayumba,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
20,Kongoussi,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
21,Bolobo,CD,-2.95,25.95,69.57,light rain,100,100,1.41
22,Dourbali,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
23,Cabedelo,BR,-6.9811,-34.8339,79.47,overcast clouds,76,97,9.1
24,Sassandra,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
25,Bonthe,SL,7.5264,-12.505,77.94,moderate rain,87,100,5.91
26,Bandundu,CD,-2.95,25.95,69.57,light rain,100,100,1.41
27,Conakry,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
28,Natal,BR,-6.9811,-34.8339,79.47,overcast clouds,76,97,9.1
29,Nouakchott,MR,18.0858,-15.9785,78.73,broken clouds,62,52,14.88
30,Diapaga,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
31,Goderich,SL,7.5264,-12.505,77.94,moderate rain,87,100,5.91
32,Moussoro,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
33,Mao,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
34,Ouallam,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
35,Yangambi,CD,-2.95,25.95,69.57,light rain,100,100,1.41
36,Mindelo,CV,14.8961,-24.4956,78.1,scattered clouds,71,46,11.54
37,Lodja,CD,-2.95,25.95,69.57,light rain,100,100,1.41
38,Bauchi,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
39,Dabakala,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
40,Praia,CV,14.8961,-24.4956,78.1,scattered clouds,71,46,11.54
41,Mweka,CD,-2.95,25.95,69.57,light rain,100,100,1.41
42,Yamoussoukro,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
43,Gamba,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
44,Pitimbu,BR,-6.9811,-34.8339,79.47,overcast clouds,76,97,9.1
45,Nioro,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
46,Touros,BR,-6.9811,-34.8339,79.47,overcast clouds,76,97,9.1
47,Harper,LR,6.7533,-11.3686,79.09,moderate rain,84,100,6.64
48,Bilma,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
49,Koulamoutou,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
50,Kabala,SL,7.5264,-12.505,77.94,moderate rain,87,100,5.91
51,Sokoto,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
52,Waw,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
53,Soyo,AO,-6.1349,12.3689,76.86,light rain,84,91,9.31
54,Olinda,BR,-6.9811,-34.8339,79.47,overcast clouds,76,97,9.1
55,Sikasso,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
56,Abonnema,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
57,Zemio,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
58,Kousseri,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
59,Jamestown,MY,5.4112,100.3354,77.9,mist,94,20,4.61
60,Kasongo-Lunda,CD,-2.95,25.95,69.57,light rain,100,100,1.41
61,Gao,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
62,Rafai,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
63,Bocaranga,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
64,Ler,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
65,Santa Maria,CV,14.8961,-24.4956,78.1,scattered clouds,71,46,11.54
66,Ponta Do Sol,CV,14.8961,-24.4956,78.1,scattered clouds,71,46,11.54
67,Buta,CD,-2.95,25.95,69.57,light rain,100,100,1.41
68,Sokolo,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
69,Kyabe,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
70,Kutum,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
71,Malumfashi,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
72,Kikwit,CD,-2.95,25.95,69.57,light rain,100,100,1.41
73,Maridi,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
74,Abalak,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
75,Anisoc,GQ,1.8658,10.7689,70.09,broken clouds,100,67,1.99
76,Cibitoke,BI,-2.8833,29.25,63.73,overcast clouds,79,96,5.06
